event_id,brand,region,city,location_type,event_type,start_date,end_date,lease_length_days,sku,product_name,price_usd,avg_daily_footfall,units_sold,sell_through_pct,Duration in weeks,Revenue
POP101752,Valentino Beauty,North America,Los Angeles,High-Street,Shop-in-Shop,2024-11-12,2025-02-05,85,LE-EBVBQFX8,Valentino Beauty Velvet Mascara,32.66,2467,1654,61.58,12,54019.6
POP101758,Armani Beauty,Asia-Pacific,Hong Kong,High-Street,Shop-in-Shop,2024-06-28,2024-09-25,89,LE-F74N25LZ,Armani Beauty Satin Eyeshadow Palette,95.56,2335,1010,62.38,13,96515.6
POP100044,Huda Beauty,Middle East,Abu Dhabi,High-Street,Shop-in-Shop,2024-05-15,2024-07-29,75,LE-XJRMFMX5,Huda Beauty Velvet Mascara,62.77,2528,3139,66.57,11,197035.0
POP101476,Fenty Beauty,Europe,Berlin,High-Street,Shop-in-Shop,2025-01-14,2025-01-21,7,LE-4H8RZIRL,Fenty Beauty Lumière Primer,54.27,1726,1701,65.52,1,92313.3
POP101532,MAC Cosmetics,Latin America,São Paulo,High-Street,Shop-in-Shop,2025-01-28,2025-04-10,72,LE-GV9SUQ49,MAC Cosmetics Pearl Foundation,55.51,2382,1836,83.3,10,101916.4
POP101106,Armani Beauty,Middle East,Dubai,High-Street,Shop-in-Shop,2024-09-21,2024-12-04,74,LE-LYSQ1B11,Armani Beauty Glow Eyeshadow Palette,68.78,1388,2180,79.04,11,149940.4
POP101502,YSL Beauty,North America,Chicago,High-Street,Shop-in-Shop,2024-12-28,2025-01-26,29,LE-DPH98NW0,YSL Beauty Pearl Fragrance,96.08,1708,2947,63.44,4,283147.8
POP100318,Guerlain,Middle East,Jeddah,High-Street,Shop-in-Shop,2024-09-19,2024-11-22,64,LE-VAXADJET,Guerlain Velvet Eyeshadow Palette,129.34,2582,3391,84.92,9,438591.9
POP101383,Fenty Beauty,Latin America,São Paulo,High-Street,Shop-in-Shop,2024-08-31,2024-10-07,37,LE-FDDZCQC7,Fenty Beauty Satin Eyeshadow Palette,117.49,1678,1174,84.7,5,137933.3
POP100874,Sisley-Paris,North America,New York,High-Street,Shop-in-Shop,2024-07-06,2024-09-15,71,LE-PA9QJNA7,Sisley-Paris Noir Highlighter,52.31,1539,1761,56.46,10,92117.9
POP101190,Bobbi Brown,Latin America,São Paulo,High-Street,Shop-in-Shop,2025-02-14,2025-03-20,34,LE-F7JJF7YU,Bobbi Brown Glow Serum,208.7,1286,1611,40.64,5,336215.7
POP101084,Huda Beauty,Latin America,unknown,High-Street,Shop-in-Shop,2024-05-07,2024-07-10,64,LE-L1JCULF4,Huda Beauty Noir Eyeshadow Palette,67.79,1584,2094,82.64,9,141952.3
POP100973,Hourglass,Europe,Milan,High-Street,Shop-in-Shop,2024-05-08,2024-07-06,59,LE-0EQJHVX4,Hourglass Lumière Primer,75.55,1870,2265,66.48,8,171120.8
POP102111,Sisley-Paris,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-07-12,2025-08-08,27,LE-NBR0BESG,Sisley-Paris Noir Fragrance,152.01,2310,1996,69.14,4,303412.0
POP101772,Tom Ford Beauty,Europe,Madrid,High-Street,Shop-in-Shop,2025-04-10,,67,LE-JHRG4VFJ,Tom Ford Beauty Velvet Highlighter,65.9,1564,1635,84.94,10,107746.5
POP101345,MAC Cosmetics,Europe,Berlin,High-Street,Shop-in-Shop,2024-08-06,2024-10-21,76,LE-MW04UAXZ,MAC Cosmetics Opulence Serum,152.1,1656,1032,60.78,11,156967.2
POP101556,Tom Ford Beauty,Asia-Pacific,Tokyo,High-Street,Shop-in-Shop,2024-06-20,2024-08-05,46,LE-BPE19IMA,Tom Ford Beauty Velvet Serum,241.94,2110,2773,83.93,7,670899.6
POP101005,Rare Beauty,Asia-Pacific,Singapore,High-Street,Shop-in-Shop,2024-11-10,2024-12-22,42,LE-O38PHE7Q,Rare Beauty Opulence Highlighter,39.9,2631,1804,53.92,6,71979.6
POP101111,Guerlain,Latin America,Lima,High-Street,Shop-in-Shop,2024-10-31,2025-01-01,62,LE-7837JKXW,Guerlain Rouge Blush,52.87,2135,3741,82.82,9,197786.7
POP101872,Guerlain,Middle East,Jeddah,High-Street,Shop-in-Shop,2024-06-29,2024-09-25,88,LE-ADH2DU4W,Guerlain Rouge Foundation,79.25,1239,967,60.36,13,76634.8
POP101925,Valentino Beauty,Latin America,São Paulo,High-Street,Shop-in-Shop,2024-10-30,2025-01-21,83,LE-8R56VTOS,Valentino Beauty Glow Setting Powder,64.12,2516,3394,70.58,12,217623.3
POP100943,Pat McGrath Labs,Latin America,Buenos Aires,High-Street,Shop-in-Shop,2024-09-09,2024-10-08,29,LE-ND5FVK2H,Pat McGrath Labs Velvet Mascara,34.57,1315,228,70.15,4,7882.0
POP101080,Shiseido,North America,Chicago,High-Street,Shop-in-Shop,2024-05-30,2024-08-14,76,LE-B78DGNEB,Shiseido Glow Setting Powder,73.46,2091,1879,66.47,11,138031.3
POP101134,Estée Lauder,Latin America,Lima,High-Street,Shop-in-Shop,2024-02-26,2024-03-20,23,LE-GN673V4G,Estée Lauder Opulence Eyeshadow Palette,94.74,875,850,79.44,3,80529.0
POP100031,Fenty Beauty,North America,Toronto,High-Street,Shop-in-Shop,2024-08-08,2024-10-06,59,LE-A98J2FOI,Fenty Beauty Éclat Primer,83.96,1192,411,56.38,8,34507.6
POP101362,Shiseido,Middle East,Dubai,High-Street,Shop-in-Shop,2025-01-18,2025-04-15,87,LE-7UMW9XLA,Shiseido Rouge Eyeshadow Palette,130.85,1108,1430,71.36,12,187115.5
POP101023,NARS,Europe,Madrid,High-Street,Shop-in-Shop,2025-04-05,2025-06-21,77,LE-7QRZI0KR,NARS Pearl Fragrance,355.04,2201,3682,87.69,11,1307257.3
POP101335,Guerlain,Middle East,Abu Dhabi,High-Street,Shop-in-Shop,2024-06-08,2024-08-13,66,LE-4AT1O40D,Guerlain Satin Primer,60.32,1495,318,43.44,9,19181.8
POP100855,YSL Beauty,Asia-Pacific,Hong Kong,High-Street,Shop-in-Shop,2024-08-21,2024-11-13,84,LE-MB0BHHQ1,YSL Beauty Pearl Serum,279.33,1308,2167,77.98,12,605308.1
POP100500,Estée Lauder,Middle East,Jeddah,High-Street,Shop-in-Shop,2025-06-23,2025-08-04,42,LE-M75DVL92,Estée Lauder Pearl Setting Powder,66.57,1508,2997,81.48,6,199510.3
POP100528,MAC Cosmetics,Middle East,Doha,High-Street,Shop-in-Shop,2024-07-08,2024-09-05,59,LE-17JBRGXP,MAC Cosmetics Velvet Highlighter,78.88,1366,2504,71.12,8,197515.5
POP101131,Charlotte Tilbury,Asia-Pacific,Shanghai,High-Street,Shop-in-Shop,2024-08-15,2024-09-21,37,LE-MYXP49NJ,Charlotte Tilbury Mirage Mascara,30.75,1047,2592,59.83,5,79704.0
POP102112,Dior,Middle East,Doha,High-Street,Shop-in-Shop,2025-01-16,2025-03-09,52,LE-QWVSZO25,Dior Éclat Foundation,109.58,1525,3763,78.15,7,412349.5
POP102050,YSL Beauty,Asia-Pacific,Tokyo,High-Street,Shop-in-Shop,2024-11-11,2025-01-25,75,LE-MYD9I4EY,YSL Beauty Satin Serum,82.08,2482,2380,69.15,11,195350.4
POP100754,Shiseido,Europe,Milan,High-Street,Shop-in-Shop,2024-06-30,2024-09-05,67,LE-3W61T6OY,Shiseido Satin Fragrance,390.42,1018,3516,77.58,10,1372716.7
POP101483,Charlotte Tilbury,Europe,Madrid,High-Street,Shop-in-Shop,2025-04-23,2025-05-11,18,LE-UX849YAK,Charlotte Tilbury Glow Mascara,38.07,1899,619,59.52,3,23565.3
POP100558,Clé de Peau Beauté,Asia-Pacific,Hong Kong,High-Street,Shop-in-Shop,2024-02-19,2024-05-03,74,LE-LWW3789M,Clé de Peau Beauté Noir Fragrance,390.39,2570,719,72.92,11,280690.4
POP100139,Bobbi Brown,Latin America,Buenos Aires,High-Street,Shop-in-Shop,2025-02-01,2025-03-12,39,LE-L6FPIKCA,Bobbi Brown Opulence Fragrance,296.42,2204,413,70.72,6,122421.5
POP101413,Sisley-Paris,Middle East,Dubai,High-Street,Shop-in-Shop,2024-05-25,2024-07-03,39,LE-RSSTYIZK,Sisley-Paris Lumière Mascara,30.16,2172,1393,78.57,6,42012.9
POP100547,Hourglass,Middle East,Abu Dhabi,High-Street,Shop-in-Shop,2025-01-28,2025-03-03,34,LE-2MUSNZH3,Hourglass Noir Setting Powder,43.99,1611,289,91.75,5,12713.1
POP100242,Charlotte Tilbury,Latin America,São Paulo,High-Street,Shop-in-Shop,2024-09-09,2024-12-06,88,LE-J3YUUHSM,Charlotte Tilbury Velvet Primer,63.52,1527,1482,87.8,13,94136.6
POP102114,Clé de Peau Beauté,North America,Los Angeles,High-Street,Shop-in-Shop,2024-05-28,2024-06-05,8,LE-4VMRTGF4,Clé de Peau Beauté Lumière Foundation,110.78,2526,1968,71.43,1,218015.0
POP100622,La Prairie,Europe,Madrid,High-Street,Shop-in-Shop,2024-11-02,2025-01-19,78,LE-RE4JLN7C,La Prairie Noir Highlighter,58.3,2371,3386,82.46,11,197403.8
POP100024,Charlotte Tilbury,Europe,Milan,High-Street,Shop-in-Shop,2025-02-21,2025-03-17,24,LE-YVR7JMPE,Charlotte Tilbury Éclat Highlighter,62.59,1881,2146,45.43,3,134318.1
POP100060,Chanel,Latin America,Buenos Aires,High-Street,Shop-in-Shop,2024-05-22,2024-07-26,65,LE-S68ECEFZ,Chanel Opulence Fragrance,143.73,1005,3485,69.87,9,500899.1
POP100092,Givenchy Beauty,Europe,Berlin,High-Street,Shop-in-Shop,2025-06-22,2025-07-19,27,LE-AI8J09Q6,Givenchy Beauty Rouge Lipstick,67.22,1045,3351,76.09,4,225254.2
POP100847,Lancôme,Europe,Milan,High-Street,Shop-in-Shop,2025-01-09,2025-02-26,48,LE-JPUM1NSP,Lancôme Lumière Primer,71.06,2553,614,57.06,7,43630.8
POP100899,Fenty Beauty,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-05-10,2025-05-14,4,LE-BQ6PS1IU,Fenty Beauty Velvet Highlighter,79.08,1241,866,72.59,1,68483.3
POP100404,Valentino Beauty,Latin America,Lima,High-Street,Shop-in-Shop,2024-06-24,2024-09-07,75,LE-JLVFG0FQ,Valentino Beauty Glow Primer,53.26,913,210,54.12,11,11184.6
POP101142,Givenchy Beauty,Middle East,Doha,High-Street,Shop-in-Shop,2025-06-08,2025-08-03,56,LE-56L5DOQ9,Givenchy Beauty Rouge Fragrance,383.36,2463,1495,84.08,8,573123.2
POP101902,Pat McGrath Labs,Middle East,Dubai,High-Street,Shop-in-Shop,2024-07-12,2024-08-03,22,LE-JE52I48Q,Pat McGrath Labs Mirage Primer,62.22,1012,515,100,3,32043.3
POP101984,Armani Beauty,Latin America,Lima,High-Street,Shop-in-Shop,2024-11-01,2024-12-23,52,LE-TX283ZSH,Armani Beauty Éclat Fragrance,160.38,2754,129,50.59,7,20689.0
POP101328,Estée Lauder,Europe,Madrid,High-Street,Shop-in-Shop,2025-04-25,2025-06-03,39,LE-AJ3LZJ9J,Estée Lauder Lumière Highlighter,86.77,2432,1402,88.4,6,121651.5
POP101214,La Prairie,Asia-Pacific,Tokyo,High-Street,Shop-in-Shop,2025-05-02,2025-05-14,12,LE-VRC0R3PL,La Prairie Pearl Primer,69.06,1393,2044,83.57,2,141158.6
POP101566,Lancôme,Europe,Madrid,High-Street,Shop-in-Shop,2025-06-17,2025-08-11,55,LE-VJ1950N6,Lancôme Lumière Highlighter,64.66,2591,1029,72.93,8,66535.1
POP101893,Hermès Beauty,Middle East,Jeddah,High-Street,Shop-in-Shop,2024-04-18,2024-05-05,17,LE-O0HWJOY4,Hermès Beauty Glow Blush,47.36,2363,1110,73.36,2,52569.6
POP101253,Armani Beauty,Latin America,São Paulo,High-Street,Shop-in-Shop,2025-05-03,2025-06-09,37,LE-N357EH0I,Armani Beauty Noir Fragrance,323.08,1205,1356,91.44,5,438096.5
POP101032,Huda Beauty,Middle East,Jeddah,High-Street,Shop-in-Shop,2025-02-13,2025-04-07,53,LE-UUIKIQVJ,Huda Beauty Lumière Foundation,88.71,1436,1989,51.53,8,176444.2
POP101646,Shiseido,Asia-Pacific,Hong Kong,High-Street,Shop-in-Shop,2024-11-16,2024-12-29,43,LE-8GUU30RP,Shiseido Noir Highlighter,62.72,1752,2334,96.69,6,146388.5
POP100934,MAC Cosmetics,Europe,Berlin,High-Street,Shop-in-Shop,2024-10-03,2024-12-01,59,LE-JSKDWJHR,MAC Cosmetics Noir Highlighter,82.73,2604,1909,72.23,8,157931.6
POP101620,Clé de Peau Beauté,Latin America,São Paulo,High-Street,Shop-in-Shop,2024-07-09,2024-08-27,49,LE-NQ6GU3KS,Clé de Peau Beauté Rouge Highlighter,46.88,2643,3161,93.41,7,148187.7
POP101296,Sisley-Paris,Latin America,unknown,High-Street,Shop-in-Shop,2025-05-19,2025-05-25,6,LE-57GTJZ2K,Sisley-Paris Pearl Blush,62.34,2328,2661,60,1,165886.7
POP101498,Chanel,Europe,Berlin,High-Street,Shop-in-Shop,2025-03-04,2025-03-17,13,LE-ELEH7V6R,Chanel Noir Serum,244.08,866,1012,66.8,2,247009.0
POP101011,Lancôme,Latin America,Buenos Aires,High-Street,Shop-in-Shop,2025-04-23,2025-05-03,10,LE-NYNMCEX1,Lancôme Opulence Primer,52.04,1015,1975,61.8,1,102779.0
POP100789,Rare Beauty,North America,Los Angeles,High-Street,Shop-in-Shop,2025-04-09,2025-05-11,32,LE-MLMC95AH,Rare Beauty Rouge Foundation,101.44,2186,3878,86.37,5,393384.3
POP101888,Givenchy Beauty,Latin America,Buenos Aires,High-Street,Shop-in-Shop,2024-03-27,2024-05-17,51,LE-LONUGGW9,Givenchy Beauty Satin Foundation,101.73,2504,673,61.69,7,68464.3
POP101148,Bobbi Brown,Middle East,Abu Dhabi,High-Street,Shop-in-Shop,2024-08-26,2024-09-05,10,LE-IN6RUS9B,Bobbi Brown Velvet Setting Powder,60.18,2099,2636,86.8,1,158634.5
POP100569,Huda Beauty,North America,Miami,High-Street,Shop-in-Shop,2024-08-09,2024-09-17,39,LE-ZID6GJXS,Huda Beauty Éclat Lipstick,52.76,1442,622,75.85,6,32816.7
POP100699,Armani Beauty,Europe,Paris,High-Street,Shop-in-Shop,2025-07-02,2025-07-09,7,LE-P4F1T2EG,Armani Beauty Noir Serum,194.92,2240,4085,85.59,1,796248.2
POP100606,Bobbi Brown,Middle East,Jeddah,High-Street,Shop-in-Shop,2024-06-23,2024-07-09,16,LE-IP6NWLWU,Bobbi Brown Noir Blush,52.93,2345,4053,94.23,2,214525.3
POP101535,Dior,Latin America,Lima,High-Street,Shop-in-Shop,2025-04-17,2025-06-03,47,LE-8KSZT8BU,Dior Mirage Lipstick,53.81,1591,1013,79.02,7,54509.5
POP101019,Armani Beauty,Europe,Paris,High-Street,Shop-in-Shop,2025-06-25,2025-07-30,35,LE-ECYN1KKY,Armani Beauty Pearl Setting Powder,41.69,2393,2431,65.19,5,101348.4
POP101388,Bobbi Brown,Latin America,Buenos Aires,High-Street,Shop-in-Shop,2024-07-28,2024-08-17,20,LE-0CW24C6V,Bobbi Brown Opulence Fragrance,125.95,1699,1877,73.04,3,236408.2
POP101890,Dior,North America,New York,High-Street,Shop-in-Shop,2025-04-07,2025-06-05,59,LE-WMKINS9Z,Dior Éclat Blush,44.85,1506,1412,61.82,8,63328.2
POP100207,Bobbi Brown,Middle East,Doha,High-Street,Shop-in-Shop,2024-03-26,2024-05-26,61,LE-2EAYYQB2,Bobbi Brown Velvet Serum,163.73,1843,402,60.63,9,65819.5
POP101014,Valentino Beauty,Europe,Berlin,High-Street,Shop-in-Shop,2024-10-10,2024-11-13,34,LE-58BA9LM6,Valentino Beauty Velvet Eyeshadow Palette,123.97,1966,1893,59.03,5,234675.2
POP102072,Chanel,Latin America,Mexico City,High-Street,Shop-in-Shop,2025-06-10,2025-07-15,35,LE-0QLVKCU6,Chanel Velvet Foundation,66.4,2185,519,81.35,5,34461.6
POP101224,Sisley-Paris,Europe,Milan,High-Street,Shop-in-Shop,2025-01-22,2025-02-17,26,LE-KT3C2GHM,Sisley-Paris Glow Mascara,72.78,1786,4295,92.97,4,312590.1
POP100981,Givenchy Beauty,North America,Los Angeles,High-Street,Shop-in-Shop,2024-12-22,2025-01-25,34,LE-BIGZG6CL,Givenchy Beauty Noir Lipstick,58,1667,2770,75.11,5,160660.0
POP101153,Guerlain,North America,Los Angeles,High-Street,Shop-in-Shop,2025-01-26,2025-02-10,15,LE-D81MGZYM,Guerlain Lumière Mascara,43.04,2186,1614,81.52,2,69466.6
POP101533,Estée Lauder,Europe,London,High-Street,Shop-in-Shop,2024-10-10,2024-10-16,6,LE-3CZXAPOR,Estée Lauder Glow Fragrance,301.29,2584,1541,81.41,1,464287.9
POP102085,Charlotte Tilbury,Latin America,Buenos Aires,High-Street,Shop-in-Shop,2024-08-11,2024-11-06,87,LE-UIFNJXEG,Charlotte Tilbury Rouge Highlighter,55.96,1662,1026,64,12,57415.0
POP101762,Hermès Beauty,Europe,Paris,High-Street,Shop-in-Shop,2024-02-29,2024-05-02,63,LE-VCUIAH6U,Hermès Beauty Lumière Highlighter,73.43,1077,2980,68.7,9,218821.4
POP100804,Tom Ford Beauty,Asia-Pacific,Tokyo,High-Street,Shop-in-Shop,2024-11-04,2025-01-11,68,LE-X7K4CSOT,Tom Ford Beauty Mirage Lipstick,38.36,877,1401,59.26,10,53742.4
POP100378,Armani Beauty,North America,New York,High-Street,Shop-in-Shop,2025-05-06,2025-07-27,82,LE-6YPB63R2,Armani Beauty Noir Blush,48.67,2712,510,71.73,12,24821.7
POP100791,Givenchy Beauty,Asia-Pacific,Seoul,High-Street,Shop-in-Shop,2025-05-07,2025-07-29,83,LE-SS6VKFHD,Givenchy Beauty Satin Primer,78.94,2671,926,60.72,12,73098.4
POP100702,Huda Beauty,Europe,London,High-Street,Shop-in-Shop,2024-08-19,2024-10-23,65,LE-0YQF2GTR,Huda Beauty Mirage Foundation,50.13,2449,2543,56.35,9,127480.6
POP101478,MAC Cosmetics,Europe,London,High-Street,Shop-in-Shop,2024-04-01,2024-05-19,48,LE-OEO8CJR5,MAC Cosmetics Glow Setting Powder,42.22,2739,1355,50.11,7,57208.1
POP101263,Givenchy Beauty,Middle East,Dubai,High-Street,Mall Kiosk,2024-08-21,2024-08-26,5,LE-09689UTH,Givenchy Beauty Pearl Setting Powder,83.14,2506,1919,56.99,1,159545.7
POP101442,Hourglass,North America,New York,High-Street,Mall Kiosk,2024-08-02,2024-09-03,32,LE-9IVYGOSS,Hourglass Éclat Highlighter,85.93,904,2270,46.1,5,195061.1
POP101738,Givenchy Beauty,Asia-Pacific,Tokyo,High-Street,Mall Kiosk,2024-10-24,2024-11-19,26,LE-F99T66FO,Givenchy Beauty Pearl Eyeshadow Palette,67.48,1456,1495,66.27,4,100882.6
POP102067,Pat McGrath Labs,Middle East,Abu Dhabi,High-Street,Mall Kiosk,2024-03-25,2024-06-11,78,LE-PRN1GYBC,Pat McGrath Labs Lumière Eyeshadow Palette,129.51,1180,1786,79.06,11,231304.9
POP100529,Dior,Latin America,Buenos Aires,High-Street,Mall Kiosk,2024-02-29,2024-05-25,86,LE-JNOMXIS6,Dior Mirage Foundation,117.59,1110,868,82.51,12,102068.1
POP101233,Hermès Beauty,Europe,Milan,High-Street,Mall Kiosk,2024-06-13,2024-07-25,42,LE-YL5Z9JNG,Hermès Beauty Mirage Primer,62.25,2472,2238,79.67,6,139315.5
POP101151,Clé de Peau Beauté,Latin America,Bogotá,High-Street,Mall Kiosk,2025-03-20,2025-06-11,83,LE-5H1THLY8,Clé de Peau Beauté Pearl Setting Powder,81.37,1503,1762,50.82,12,143373.9
POP100056,Valentino Beauty,Europe,Milan,High-Street,Mall Kiosk,2025-02-09,2025-03-15,34,LE-ETXOUT0S,Valentino Beauty Satin Foundation,80.01,1136,4028,100,5,322280.3
POP101332,Sisley-Paris,Asia-Pacific,Singapore,High-Street,Mall Kiosk,2024-07-12,2024-08-26,45,LE-00P2AUY1,Sisley-Paris Noir Mascara,31.71,940,3498,80.77,6,110921.6
POP101511,Armani Beauty,Middle East,Jeddah,High-Street,Mall Kiosk,2025-01-01,2025-03-19,77,LE-TLG4PQTQ,Armani Beauty Noir Setting Powder,79.66,1351,286,74.09,11,22782.8
POP100065,Hourglass,Europe,Madrid,High-Street,Mall Kiosk,2025-02-28,2025-03-08,8,LE-Z9CKW5SM,Hourglass Glow Setting Powder,43.87,1558,1275,85,1,55934.3
POP101100,Bobbi Brown,Europe,Berlin,High-Street,Mall Kiosk,2025-03-10,2025-03-22,12,LE-H3BNJCVC,Bobbi Brown Éclat Blush,37.5,1572,1643,72.57,2,61612.5
POP100618,Hermès Beauty,Europe,Paris,High-Street,Mall Kiosk,2024-12-20,2025-01-14,25,LE-WGIW9HWC,Hermès Beauty Glow Fragrance,303.11,2444,773,43.52,4,234304.0
POP102032,Pat McGrath Labs,Asia-Pacific,Singapore,High-Street,Mall Kiosk,2024-06-05,2024-08-08,64,LE-EGTWQEOD,Pat McGrath Labs Rouge Serum,180.64,1720,1828,64.75,9,330209.9
POP101997,Bobbi Brown,Middle East,Riyadh,High-Street,Mall Kiosk,2024-04-05,2024-05-16,41,LE-8JV6H8EN,Bobbi Brown Satin Primer,70.84,1540,2604,59.36,6,184467.4
POP100679,Valentino Beauty,North America,Los Angeles,High-Street,Mall Kiosk,2025-03-12,2025-03-28,16,LE-2DCKURFK,Valentino Beauty Velvet Foundation,79.02,1164,2972,79.13,2,234847.4
POP101004,NARS,Latin America,Bogotá,High-Street,Mall Kiosk,2025-04-30,2025-07-15,76,LE-8TUXZ7EF,NARS Rouge Eyeshadow Palette,101.53,2458,3790,81.02,11,384798.7
POP100599,Huda Beauty,North America,Toronto,High-Street,Mall Kiosk,2024-07-01,2024-07-17,16,LE-2JVA76OJ,Huda Beauty Noir Foundation,75.36,2709,714,93.46,2,53807.0
POP100819,Valentino Beauty,Middle East,Riyadh,High-Street,Mall Kiosk,2025-06-01,2025-08-11,71,LE-0XGBJ4SS,Valentino Beauty Satin Setting Powder,84.38,2001,200,60.24,10,16876.0
POP100862,Clé de Peau Beauté,Asia-Pacific,Tokyo,High-Street,Mall Kiosk,2025-03-23,2025-04-20,28,LE-MWDE82T3,Clé de Peau Beauté Mirage Highlighter,40.12,3048,295,71.6,4,11835.4
POP101395,Charlotte Tilbury,Middle East,Doha,High-Street,Mall Kiosk,2025-03-08,2025-03-13,5,LE-UBFQ7ZPF,Charlotte Tilbury Noir Mascara,45.48,2600,405,55.18,1,18419.4
POP100840,Lancôme,Latin America,Mexico City,High-Street,Mall Kiosk,2024-10-17,2024-11-21,35,LE-ZKOWXEPC,Lancôme Glow Lipstick,45.64,858,1659,74,5,75716.8
POP100987,Dior,Middle East,Doha,High-Street,Mall Kiosk,2024-12-13,2025-01-04,22,LE-FD57UAHC,Dior Pearl Blush,65.63,2276,1045,86.01,3,68583.4
POP100432,Shiseido,Asia-Pacific,Shanghai,High-Street,Mall Kiosk,2024-11-28,2025-02-21,85,LE-25PJ3RWG,Shiseido Éclat Highlighter,47.77,1561,2543,55.6,12,121479.1
POP100480,Estée Lauder,Europe,Paris,High-Street,Mall Kiosk,2024-08-04,2024-10-22,79,LE-C6VVXEGL,Estée Lauder Rouge Fragrance,242.56,2087,1609,89.84,11,390279.0
